ccode,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
FR,2.91258164,2.23354064,-8.64020772,-20.7889332,-17.70850106,-9.98556054,-22.37286548,-7.4857165,-12.83137193,-9.742635433,-16.90245664,-8.6867912,-1.2690434,-5.4550925999999995,-2.74943785,-8.41096806,-6.31291292,-10.38665086,-4.90149014,-5.963687846,11.03710914,0.941605228
MIDA,-3.34781626,-4.65067614,-9.22037456,-5.8986162,-10.69302798,-10.2264649,-8.8634374,-2.55700738,-8.188585799999998,-7.66450278,-5.22908018,-14.430215900000002,-9.85226748,-3.60070804,1.37638012,-16.07671342,-3.14627768,-6.354418467,1.82097958,-3.301020496,6.775259105,3.2784850789999997
QLD,-3.07564376,-7.27906545,-8.09803382,-7.97584152,-4.96668268,-7.854694825,-7.211736875,-5.42014474,-5.39952716,-4.348325,-10.68249348,-0.51708782,-6.11331306,-7.61774004,-2.665624725,-4.08981494,-8.31743832,-3.76245466,-1.24714032,-2.287557437,6.554704465,-4.187916854
SW,7.68425944,2.24374578,3.25489988,-1.92678152,-2.7441649,-3.27872902,4.1326275,1.37188774,1.66691386,-2.06182638,7.240454799999999,3.2970881000000003,4.92493188,5.35508196,-3.07725058,-0.85821034,0.33020728,-4.4261322,5.11721372,9.398109124,5.411184988,4.567792699
CENT,-7.915786099999999,-0.95719592,-2.63798938,-1.02154258,-10.34791752,-3.22261248,-0.36936072,-8.00285196,-9.748838800000001,-7.25621956,-4.03742554,-14.27916466,-6.52202438,7.580058599999999,7.01072884,2.2212006,-2.67676674,0.44207120000000005,3.33376946,-4.688981108,5.139281588,-6.653010732
South,-0.98,-0.05,-0.45,2.26,-7.96,-11.45,-3.29,-8.7,0.23,-3.07,-5.71,-5.73,-10.08,-18.99,-11.74,-18.99,-11.74,1.65,14.79,6.28,3.52,3.3
NE,-3.06226222,-3.96008972,-5.12871706,-6.18357668,-5.71392502,-10.92844792,-7.42600366,-7.46818556,-9.5499278,-11.37142444,-12.72926478,-7.18598372,-3.87149142,-3.59229238,-0.5345477,-8.8404038,1.08685834,14.19779,6.44018658,5.6826720239999995,3.388827749,2.657586276
Shikoku,-1.00154012,3.27346446,-2.6722451,1.1856603000000001,7.21575882,-1.8359153999999998,7.65791042,-2.78160122,,-5.82309765,-2.36060158,-3.76929512,-2.0189276,-2.70899202,-3.3716385,0.13697274,-0.65846254,-0.97201278,-3.82973984,-5.622044551,2.272152717,-1.157936316
LV,-0.52766304,3.196037,-2.28120806,-4.52845928,-4.32347272,-1.68173905,-5.672376799999999,-9.402618525,-5.916000067000001,-7.0243827,-9.79932722,-7.91561338,-5.03319736,-5.56447126,-2.38020922,-4.11806362,-5.8521155,1.55468456,-3.47715262,-0.150139773,1.81843873,
ER,-1.9097047999999999,-7.095401,-0.3831203,-18.16911586,-23.871303100000002,-16.29931432,-19.85729274,-28.33907406,-18.4992557,-19.97009042,-10.04194476,-21.80238253,-14.08449924,-8.3958487,3.440014875,0.00438866,-4.332745500000001,8.52162068,8.215140700000001,0.797296835,1.75457175,0.775850335
