ccode,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
CAR,1.003751834,0.590187934,-8.692956346,-8.469828083,-9.251631904,-10.68157904,-6.836785142,-5.515666587999999,-7.164974967000001,-9.065860505,-3.577199133,-2.34324434,1.052548351,-4.390563258999999,14.78443317
MIDA,-3.3478162830000002,-4.6506761480000005,-9.220374578,-5.898616194,-10.69302801,-10.2264649,-8.863437403999999,-2.557007374,-8.188585794,-7.664502786,-5.229080194,-14.43021591,-9.85226748,-6.368705253,11.56570391
TEN,-4.247607425,2.233960544,-6.3350168270000005,-9.083149627000001,-11.58442281,-9.80673742,-3.9005041410000003,-2.3894225959999997,-3.5245626619999997,-8.019974984,-6.2350895170000005,-3.495163465,-4.675637879,-3.925662958,11.30404197
TAS,-4.04460083,-3.854217748,-10.06897618,0.031117084,6.448180744,7.70770526,3.029207533,6.564875917999999,-8.081310988,3.341915528,-0.569059319,-9.727907197,4.486568599999999,-1.187264036,10.30974213
CENT,-7.91578611,-0.95719593,-2.6379893919999997,-1.021542595,-10.34791752,-3.2226124730000003,-0.36936071,-8.00285197,-9.748838800000001,-7.25621956,-4.037425538,-14.27916464,-6.522024372000001,2.952970231,8.851955045
FLA,-4.618063015,-1.142544075,-1.064318455,-3.6894682239999996,-4.434435422,-3.3597819610000004,-0.653452081,2.493708604,-3.3316786489999997,-4.29492107,-11.66445244,-4.286308978,-0.89470333,-8.888186576,6.624597583
MIDW,-3.1289327510000002,-2.850563377,-5.923516167000001,-7.641497641,-10.78838182,-9.090182366,-7.40785173,-6.749650885,-12.81238599,-9.46489755,-6.268309815,-5.711522348,-3.680209376,-2.676215418,5.730766411
TEX,-3.339840234,0.698024401,2.307696451,0.5251202660000001,-0.281978646,1.556856466,-2.67065641,-6.712780036,-9.765040127999999,-5.792376893999999,-4.724612112,-13.09839733,-8.88824828,-2.013715264,5.250775464
NSW,0.895463502,-9.663260983999999,-11.68146723,-2.630297957,-8.736806968,-3.377605842,-9.866516867,-1.382043574,-6.465323585,-8.50339914,-4.367155749,0.6213593589999999,1.84071148,-3.197053116,4.606507452
NY,-0.073870245,-3.5568423510000002,-5.000204687,-10.05508105,-10.80418179,-11.26328209,-9.871225632,-5.3938393510000004,-9.076827139,-10.16855758,-8.71555305,-6.907620455,-1.983251735,-8.190062283,4.372284208
NO,2.4883438769999997,8.229924744,-0.72992137,3.9482302560000004,0.13474630699999998,13.36921312,6.76011516,-2.356703011,0.324433199,4.341106406000001,-12.45356553,-12.75727547,8.858040762,1.6663624330000002,3.320061122
ER,-1.909704783,-7.095401009,-0.383120316,-18.16911585,-23.87130312,-16.29931432,-19.85729273,-28.33907405,-18.49925569,-19.97009042,-10.04194478,-21.80238251,-14.08449924,-8.622275259,3.251633425
CH,-10.09647972,-6.570598752,-10.57334112,-14.4144609,-12.16935934,-11.89430775,-14.10184997,-5.022359676000001,-1.321677418,0.419491155,4.6458219860000005,-4.580607351,2.77902673,-5.489397935,2.778960614
Chugoku,0.646760507,2.65385611,-2.9252015539999996,-1.7296209280000001,1.185542565,-3.893807915,-0.559302683,-5.642250095,,-19.26029436,-7.059824605,-8.424226233999999,-8.509922715,-4.635404283,1.946703441
NE,-3.06226221,-3.9600897269999997,-5.128717044,-6.183576672999999,-5.713925014,-10.92844794,-7.426003666000001,-7.468185553,-9.549927794,-11.37142444,-12.72926478,-7.185983724,-3.871491406,-0.6923280390000001,1.329080194
DK,-0.062677248,3.3509523569999997,-0.358006731,-6.380208302000001,2.5268044919999997,5.205420414,0.741970204,-2.94768812,0.517084409,-0.607278789,-3.1913216610000004,-4.80895073,7.170311702,10.97567548,0.035446853
Okinawa,0.11585394,-0.302843029,1.089665915,0.42663008700000005,0.926121086,-1.762229584,-3.3657654480000003,-2.084175397,,-11.72618504,-6.814720853,-3.6645093319999997,-2.652593708,1.157151733,-0.19645168699999999
NER,-2.835704942,-3.420076556,3.2733930389999997,-8.159330198,-9.148258546000001,-13.93602221,-17.37736827,-22.10829736,-11.29818648,-9.242008769,6.224276712999999,-4.807213166,-15.4431478,-4.212144887,-0.538702246
QLD,-3.075643747,-7.279065434,-8.098033839,-7.975841515,-4.966682673999999,-7.854694833,-7.211736861,-5.42014474,-5.399527166,-4.348324985,-10.68249348,-0.517087807,-6.11331308,-7.242561662000001,-1.351999037
IE,1.5557768730000001,3.188044178,-7.389415205,-1.418261196,-9.221565574,-10.82108473,-15.87849821,-11.51768395,-13.86898875,-7.69751722,-12.60844077,-6.035676991,-5.467113073999999,-4.910935008,-1.888886881
VIC,-4.51379013,-1.310700092,-10.07415234,0.49625655799999996,-3.500267648,-1.6443714109999998,0.291429667,4.593515486,-9.553684178,-6.194597617,-5.44888894,-1.889198243,-7.76055955,-2.054761434,-1.9808238480000002
SE,-1.7253328490000002,4.477699381,1.1657567290000002,-2.859219561,2.9928813510000003,6.400294424,0.776405488,-5.69619459,-5.152421941,-1.089404053,-9.944021972,-13.28870042,-1.27034219,-5.287742182,-2.255202492
NR,-2.518614631,-14.87510303,3.3775423489999996,-25.73413893,-23.51792246,-19.61816977,-16.46224636,-15.97393762,-14.29814353,-18.26191212,-17.64663774,-8.482250468,-12.69932343,-12.40113064,-2.452775891
Tokyo,-0.074195106,1.806176478,-1.069137499,-2.559665548,7.341246003999999,-4.16032172,-1.5819045230000002,-5.668779294,,-15.04984586,-10.89700164,-5.37020282,-8.004319206,-8.815648027,-2.817092297
