ccode,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
GR,-0.436502525,-1.640272575,-8.81319986,-0.779282367,-7.86781356,-12.193854400000001,-12.0587397,-19.6036747,-4.61530915,-13.25524216,-8.79073382,-7.54476322,-12.61188316,-11.2177173,-11.90242242,-13.692887300000002,-7.0493644,-7.91130454,-7.72236268,5.41890636,-0.11200148,-8.29750758,1.73128958,-8.975331925,0.173120375,-1.27427998,1.741285419,-3.794946716,-5.038475277,-3.653787607,-4.761230379,21.80191495
NER,-2.83570494,-3.42007656,3.27339306,-8.1593302,-9.14825854,-13.93602222,-17.37736826,-22.10829736,-11.2981865,-9.24200876,6.2242767,-4.80721318,-15.44314782,-3.56570436,-1.04761935,-1.07633374,2.1001892000000004,-2.3776351000000004,2.57475428,3.26212892,0.69532186,-1.13895486,-1.16681538,4.53561155,1.762348975,0.38307934,0.450588008,2.863966332,-2.37975663,3.040251988,6.688045477999999,20.08663901
ER,-1.9097047999999999,-7.095401,-0.3831203,-18.16911586,-23.871303100000002,-16.29931432,-19.85729274,-28.33907406,-18.4992557,-19.97009042,-10.04194476,-21.80238253,-14.08449924,-8.3958487,3.440014875,0.00438866,-4.332745500000001,8.52162068,8.215140700000001,0.79729684,1.75457174,0.77585034,-3.98140096,2.7406599,-4.45416474,-4.09615072,-0.849327284,-2.196248938,-1.8289806730000002,-0.355941953,11.38498018,18.41893632
CAR,1.00375182,0.59018794,-8.69295634,-8.46982808,-9.25163192,-10.68157906,-6.83678516,-5.515666599999999,-7.16497496,-9.06586052,-3.57719912,-2.34324434,1.05254834,-6.03537972,0.48787308,-4.02412682,-0.91372238,3.3145394999999995,-4.2905136,2.95380944,-0.01243182,-0.42381062,0.50075636,-0.43633494,-2.99931202,0.39856614,0.245202367,-1.296727893,-1.513686158,-3.35568868,-1.589271119,17.41623099
TEN,-4.24760744,2.23396056,-6.33501682,-9.08314962,-11.58442284,-9.80673742,-3.90050414,-2.3894226,-3.52456266,-8.01997498,-6.23508952,-3.4951635000000003,-4.6756379,-7.70388292,-3.37194684,-3.36927996,-1.38976134,0.987535133,-2.74039694,-2.84916042,-1.597748,-0.37141134,-0.21564364,0.6339143,0.72007818,-0.2601909,2.944473734,1.399211685,2.494605253,-3.115944701,-0.694407813,17.41071989
TEX,-3.33984024,0.6980244000000001,2.30769646,0.52512026,-0.28197864,1.55685648,-2.6706564,-6.71278002,-9.76504012,-5.7923769,-4.7246121,-13.09839732,-8.8882483,-7.24051952,-4.24016584,1.49305746,-3.25635114,-0.941856267,0.43333718,-4.5506917,-0.09323496,3.32896846,0.7352135000000001,1.1684691999999999,-1.81886324,-3.98615162,7.125231672000001,4.773329619,4.006677902,0.32538694100000004,-2.863284947,17.30500117
Kansai ,-3.0038720000000003,-3.15858472,-3.707716567,-3.95728442,-0.51214902,-4.9726056,-4.0341064,-7.8701464,,-14.8926738,-11.45289384,-8.64752384,-8.6874861,-7.15235634,-2.73968282,-4.78711544,-4.41951986,-3.93234552,-3.3944818999999997,-8.920664225,-0.5660065,-3.0020321,-0.0060104,10.30231517,-3.965422775,0.88377936,0.48151421,-3.409919804,-2.249422794,1.7636555440000001,-5.652563924,13.88604392
SA,-1.25561792,-10.80184835,-14.60732648,-9.94923818,-4.9743962999999995,-10.80206008,2.724036125,17.10190684,3.79192772,-11.11890905,-6.74423106,4.168023000000001,-1.99416724,-2.41854198,-18.66164215,11.36873586,2.28297546,-6.22428758,-7.60121378,-23.34972894,-10.3778531,-13.77698004,-18.95587832,28.2560978,7.8139061000000005,5.14591274,-19.53377511,-1.91824396,8.420759694,12.50461066,3.0709435989999996,13.78026583
Tokyo,-0.07419512,1.8061764999999999,-1.0691375,-2.55966554,7.34124602,-4.16032172,-1.58190452,-5.66877928,,-15.04984585,-10.89700166,-5.37020282,-8.0043192,-7.17061404,-3.74119796,-0.04857436,-4.91689106,-4.61475004,-3.49433552,-0.39258655,-3.065843033,-4.39160424,-2.69332474,3.4945413,-2.4658192999999997,2.8062572,4.471708129,2.7547903010000003,-5.222319092,-3.642668426,-6.106303507000001,12.43904914
NR,-2.51861464,-14.87510304,3.37754234,-25.73413894,-23.51792246,-19.61816978,-16.46224638,-15.9739376,-14.29814353,-18.26191212,-17.64663772,-8.48225046,-12.69932342,-12.95076916,-2.599965,5.3655017,-2.31127286,-0.73722998,1.29758974,11.16464482,-0.5867026999999999,6.47524644,4.03008458,5.467807625,7.22668215,-0.03061484,-0.294578362,5.302865622,11.35536341,12.13423624,24.19831041,12.24740244
Kyushu,-2.35741354,2.30408248,-3.3449858999999997,-0.11020652,3.2551775000000003,-1.83424276,-2.46389296,-6.71023696,,-12.1407073,-5.53658954,-7.83491454,-2.3041728999999997,-7.5488601,-2.22881798,2.94943568,-0.98887922,-1.6120434,-0.43245694,-1.2129941,1.4667777,0.1729255,2.91887408,2.2186216,0.011196075,2.30612048,5.047102155,-0.931539048,-0.21350575,5.420852714,-8.555977671,11.77537704
