ccode,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
South,-0.98,-0.05,-0.45,2.26,-7.96,-11.45,-3.29,-8.7,0.23,-3.07,-5.71,-5.73,-10.08,-18.99,-11.74,-18.99,-11.74,1.65,14.79
CH,-10.09647972,-6.57059874,-10.57334112,-14.41446092,-12.16935934,-11.89430777,-14.10185,-5.022359675,-1.3216774,0.41949116,4.64582198,-4.58060735,2.77902675,4.001659525,2.25449755,-1.5760207,2.81321808,2.56950689,10.60920155
ER,-1.9097047999999999,-7.095401,-0.3831203,-18.16911586,-23.871303100000002,-16.29931432,-19.85729274,-28.33907406,-18.4992557,-19.97009042,-10.04194476,-21.80238253,-14.08449924,-8.3958487,3.440014875,0.00438866,-4.332745500000001,8.521620682,8.215140711
Centre,2.95,3.92,-1.36,0.01,-9.3,-9.66,-5.31,-9.81,1.44,-9.56,-7.57,-5.87,-8.82,-7.4,-4.11,-7.4,-4.11,-0.14,7.45
Volga,-0.61,0.82,-0.68,-0.52,-15.36,-11.28,-4.09,-8.09,2.25,-14.32,-15.08,-8.4,-12.91,-9.34,-9.85,-9.34,-9.85,-8.29,6.96
NE,-3.06226222,-3.96008972,-5.12871706,-6.18357668,-5.71392502,-10.92844792,-7.42600366,-7.46818556,-9.5499278,-11.37142444,-12.72926478,-7.18598372,-3.87149142,-3.59229238,-0.5345477,-8.8404038,1.08685834,14.19779002,6.4401865670000005
SW,7.68425944,2.24374578,3.25489988,-1.92678152,-2.7441649,-3.27872902,4.1326275,1.37188774,1.66691386,-2.06182638,7.240454799999999,3.2970881000000003,4.92493188,5.35508196,-3.07725058,-0.85821034,0.33020728,-4.426132216,5.1172137189999995
Russia,1.0519999999999998,1.3840000000000001,-0.772,0.42800000000000005,-9.466000000000001,-8.1,-3.022,-6.986,0.7819999999999999,-8.930000000000001,-7.93,-6.364,-9.75,-11.472,-6.354000000000001,-11.472,-6.354000000000001,-3.9480000000000004,4.76
VIC,-4.51379012,-1.3107001,-10.07415234,0.49625656,-3.50026762,-1.644371425,0.29142965,4.59351546,-9.5536842,-6.1945976,-5.44888892,-1.88919824,-7.76055954,-3.41920656,-0.417218175,-3.54884656,0.15663386,1.771920292,3.483641325
CENT,-7.915786099999999,-0.95719592,-2.63798938,-1.02154258,-10.34791752,-3.22261248,-0.36936072,-8.00285196,-9.748838800000001,-7.25621956,-4.03742554,-14.27916466,-6.52202438,7.580058599999999,7.01072884,2.2212006,-2.67676674,0.44207120200000005,3.333769455
NER,-2.83570494,-3.42007656,3.27339306,-8.1593302,-9.14825854,-13.93602222,-17.37736826,-22.10829736,-11.2981865,-9.24200876,6.2242767,-4.80721318,-15.44314782,-3.56570436,-1.04761935,-1.07633374,2.1001892000000004,-2.377635099,2.5747542869999998
NSW,0.89546348,-9.663260975,-11.68146724,-2.63029796,-8.73680698,-3.37760585,-9.866516875,-1.38204356,-6.4653236,-8.503399125,-4.36715576,0.62135938,1.8407115,-5.1323101,4.84308435,2.25090302,-4.999656900000001,-6.613021799999999,2.4775740319999997
MIDA,-3.34781626,-4.65067614,-9.22037456,-5.8986162,-10.69302798,-10.2264649,-8.8634374,-2.55700738,-8.188585799999998,-7.66450278,-5.22908018,-14.430215900000002,-9.85226748,-3.60070804,1.37638012,-16.07671342,-3.14627768,-6.354418462999999,1.820979594
Okinawa,0.11585392,-0.30284302,1.0896659,0.42663008,0.92612106,-1.7622296000000002,-3.36576546,-2.08417538,,-11.72618505,-6.81472084,-3.66450934,-2.65259372,-0.33027164,-0.6425893,2.52651446,4.10994152,0.190429906,1.798177619
