ccode,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
MIDA,-3.34781626,-4.65067614,-9.22037456,-5.8986162,-10.69302798,-10.2264649,-8.8634374,-2.55700738,-8.1885858,-7.66450278,-5.22908018,-14.4302159,-9.85226748,-3.60070804,1.37638012,-16.07671342,-3.14627768
TEX,-3.33984024,0.6980244,2.30769646,0.52512026,-0.28197864,1.55685648,-2.6706564,-6.71278002,-9.76504012,-5.7923769,-4.7246121,-13.09839732,-8.8882483,-7.24051952,-4.24016584,1.49305746,-3.25635114
NY,-0.07387024,-3.55684236,-5.0002047,-10.05508104,-10.80418178,-11.26328208,-9.87122562,-5.39383936,-9.07682714,-10.1685576,-8.71555304,-6.90762044,-1.98325172,-9.4874499,-10.59162534,-9.85588792,-3.27709518
Chubu,0.39461588,-0.36319754,2.217493533,-2.7698542,-3.02822918,-3.46233844,-0.01077232,-0.99711232,,-15.4596819,-9.73595206,-9.13794998,-7.34273945,-8.34099964,-2.89975674,-5.25776832,-3.60450566
SE,-1.72533284,4.4776994,1.16575676,-2.85921956,2.99288136,6.4002944,0.776405467,-5.696194575,-5.152421967,-1.08940404,-9.94402198,-13.2887004,-1.2703422,8.758115,-5.58211432,-5.6926132,-3.95817054
PL,0.44633404,0.4955296,-7.49425596,-12.2400187,-11.09899494,-11.9703771,-16.17706933,-10.65543467,-3.662742,-8.60594592,-12.0772108,-9.84120532,-6.84058738,-6.74099406,-10.45358538,-1.9118532,-4.059319
Centre,2.95,3.92,-1.36,0.01,-9.3,-9.66,-5.31,-9.81,1.44,-9.56,-7.57,-5.87,-8.82,-7.4,-4.11,-7.4,-4.11
ER,-1.9097048,-7.095401,-0.3831203,-18.16911586,-23.8713031,-16.29931432,-19.85729274,-28.33907406,-18.4992557,-19.97009042,-10.04194476,-21.80238253,-14.08449924,-8.3958487,3.440014875,0.00438866,-4.3327455
Japan,-1.09407568,-0.00826872,-2.1859941,-1.58029528,2.90708822,-6.96918908,-2.06046814,-6.53489488,,-16.400774,-9.00215802,-5.96694568,-8.90478806,-7.23297456,-1.96292114,-3.2902207,-4.37956194
Kansai ,-3.003872,-3.15858472,-3.707716567,-3.95728442,-0.51214902,-4.9726056,-4.0341064,-7.8701464,,-14.8926738,-11.45289384,-8.64752384,-8.6874861,-7.15235634,-2.73968282,-4.78711544,-4.41951986
RS,-3.30747934,6.45520872,4.15939808,0.57265536,-8.1616621,-2.2739205,-7.56734725,-10.21271397,11.7056016,-4.57079834,-3.02675934,-5.12355062,-4.62523556,-1.16856132,-6.65975822,-7.10000024,-4.5397502
