ccode,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46
NO,2.48834388,8.22992472,-0.72992138,3.94823026,0.13474632,13.3692131,6.76011515,-2.356703025,0.32443316699999997,4.34110638,-12.45356555,-12.75727548,8.85804075,-2.4138512000000003,2.29387745,1.9278895,-0.03765998,2.02962146,-8.02074158,0.5278579000000001,-5.25163968,2.32139434,-0.24016416,10.6972818,7.013509975,-6.74618014,9.7956767,-2.3792447999999995,7.44682272,6.34972172,15.01096934,8.318145651,-0.38558346299999996,-9.877823547,2.887544619,13.27243219,1.01531195
TR,12.531226199999999,3.49227166,3.58573732,-4.22900664,-8.51879782,-12.29756682,-17.55069182,-18.32322953,-10.308729300000001,-3.2601789,-15.98032288,-20.240154500000003,-10.86366252,,-7.23699904,-6.754179625,-0.7992185,-11.39408588,-10.52280766,1.792914867,-1.96317422,-0.8613666999999999,-9.50841242,9.243555,-0.89000165,-1.9964787,-6.68504086,0.9793707,3.03372742,6.11995902,7.78977606,9.946818875,2.921183483,4.39767017,5.841859447,12.24638081,3.023103082
BLV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.16547886,21.5647548
TAS,-4.04460082,-3.85421775,-10.06897618,0.03111708,6.44818076,7.707705275,3.029207525,6.5648759000000005,-8.08131095,3.34191555,-0.56905932,-9.727907199999999,4.486568599999999,-3.92080152,6.443231975,-8.44626118,-11.40644284,-7.04032458,-1.0725879999999999,2.54836262,0.58010858,-2.21797014,-7.76550424,8.830420825,3.656166625,0.93531734,-4.69305694,5.57442646,4.80777916,9.87113756,12.54752228,13.0973355,-2.329952787,10.7506057,-4.288519339,10.61658692,10.01300477
WR,5.94499406,-5.47676316,8.03532942,-30.79302278,-36.8321823,-32.97582608,-23.42516356,-26.62030018,-25.13497293,-22.877609,-21.0116917,-19.29167496,-16.44360232,-22.19337058,-17.39652602,-15.10656124,-12.3572747,-4.51055092,-12.605441699999998,-11.63280526,-10.16277532,6.49892374,-2.01118308,-4.63442135,-9.4267386,-9.63281816,-2.96635492,7.5059307,3.77532224,3.50830928,7.401176832999999,10.91370356,5.416099992,9.247170046,28.85110859,10.59912411,10.28436949
NR,-2.51861464,-14.87510304,3.37754234,-25.73413894,-23.51792246,-19.61816978,-16.46224638,-15.9739376,-14.29814353,-18.26191212,-17.64663772,-8.48225046,-12.69932342,-12.95076916,-2.599965,5.3655017,-2.31127286,-0.73722998,1.29758974,11.16464482,-0.5867026999999999,6.47524644,4.03008458,5.467807625,7.22668215,-0.03061484,-0.29457838,5.30286562,11.3553634,12.13423624,24.19831043,8.99293996,8.399768584,6.798664168999999,14.60202338,8.72514459,9.345622359
CH,-10.09647972,-6.57059874,-10.57334112,-14.41446092,-12.16935934,-11.89430777,-14.10185,-5.022359675,-1.3216774,0.41949116,4.64582198,-4.58060735,2.77902675,4.001659525,2.25449755,-1.5760207,2.81321808,2.5695069,10.60920156,11.58168388,3.17844336,11.94338345,6.20572776,15.16467748,7.297535975,2.3555456,4.3833677,11.75489198,13.43599106,1.18094816,7.90612912,11.46278809,7.179069488,4.550221803,7.277804635,8.093003895,9.79987493
SE,-1.72533284,4.4776994000000006,1.16575676,-2.85921956,2.99288136,6.4002944,0.776405467,-5.696194575,-5.1524219669999995,-1.08940404,-9.94402198,-13.288700400000002,-1.2703422,8.758115,-5.58211432,-5.6926132,-3.95817054,-1.46632344,-10.164224800000001,-5.03398742,-12.15724202,-1.88847214,-1.43741726,4.14894675,4.95829495,-10.48528858,1.42037504,-2.54517964,5.8081685,4.3768684,8.03596058,3.1798892339999996,-8.860762595,-1.2223526809999998,5.575049056,7.495399111,3.614866082
NER,-2.83570494,-3.42007656,3.27339306,-8.1593302,-9.14825854,-13.93602222,-17.37736826,-22.10829736,-11.2981865,-9.24200876,6.2242767,-4.80721318,-15.44314782,-3.56570436,-1.04761935,-1.07633374,2.1001892000000004,-2.3776351000000004,2.57475428,3.26212892,0.69532186,-1.13895486,-1.16681538,4.53561155,1.762348975,0.38307934,0.45058802,2.86396632,-2.37975664,3.04025198,6.688045467,17.07312855,6.84632314,6.605554902000001,7.798148518,6.990220922000001,5.926785705
