date_20,ccode,date_20,date_19,ratios,peak_2020,peak_2019,country,holiday,ISO,temp_19,temp_20,dates,adj_2020,adj_ratio,day_of_week
2021-01-08,CAR,2021-01-08,2019-01-11,90.40841231281576,28825.818181818184,31884.0,US,0,,0.8666666666666667,4.95,2021-01-08,32694.16705922206,1.0254098312389306,Friday
2021-01-04,CENT,2021-01-04,2019-01-07,112.93689973664215,30135.363636363636,26683.363636363636,US,0,,2.8,1.4,2021-01-04,29924.4292473984,1.1214639074444832,Monday
2021-01-05,CENT,2021-01-05,2019-01-08,108.60145482266346,30823.363636363636,28382.090909090908,US,0,,-2.1,1.4,2021-01-05,31521.16860825161,1.1106006498680914,Tuesday
2021-01-06,CENT,2021-01-06,2019-01-09,96.47099125278335,29697.454545454544,30783.818181818184,US,0,,-8.6,-0.4,2021-01-06,31792.435422607265,1.0327645269612722,Wednesday
2021-01-07,CENT,2021-01-07,2019-01-10,95.46434639286983,30750.454545454544,32211.454545454544,US,0,,-3.9,-0.2,2021-01-07,31592.127617113358,0.9807730840758142,Thursday
2021-01-08,CENT,2021-01-08,2019-01-11,103.84172820983356,31585.727272727272,30417.181818181816,US,0,,-2.2,-0.4,2021-01-08,31975.251884465113,1.051223353813533,Friday
2021-01-04,CH,2021-01-04,2019-01-07,108.46140368442131,8666.5,7990.4,Switzerland,0,,2.6,-0.5,2021-01-04,8330.011488175547,1.042502438948682,Monday
2021-01-05,CH,2021-01-05,2019-01-08,107.0979694140724,8844.9,8258.7,Switzerland,0,,2.8,-0.1,2021-01-05,8530.480009218152,1.0329083280925753,Tuesday
2021-01-06,CH,2021-01-06,2019-01-09,107.51624617737,9000.4,8371.2,Switzerland,0,,1.2,0.1,2021-01-06,8880.653961004165,1.0608579368554287,Wednesday
2021-01-07,CH,2021-01-07,2019-01-10,113.31839263671336,9455.4,8344.1,Switzerland,0,,-0.1,0.3,2021-01-07,9498.965894695511,1.138405087989779,Thursday
2021-01-08,CH,2021-01-08,2019-01-11,121.74615215210315,9950.8,8173.4,Switzerland,0,,0.0,-0.3,2021-01-08,9918.137148438896,1.2134652835342572,Friday
2021-01-04,CZ,2021-01-04,2019-01-07,94.23238928112964,9396.1,9971.2,Czechia,0,,1.0,1.5,2021-01-04,9457.905482291106,0.9485222924313128,Monday
2021-01-05,CZ,2021-01-05,2019-01-08,95.87614510080866,9639.1,10053.7,Czechia,0,,2.7,0.6,2021-01-05,9379.071524439105,0.932897492907,Tuesday
2021-01-06,CZ,2021-01-06,2019-01-09,97.5901098026735,9812.1,10054.4,Czechia,0,,0.6,-0.5,2021-01-06,9678.335902661964,0.9625970622475696,Wednesday
2021-01-07,CZ,2021-01-07,2019-01-10,97.65199286731821,9802.6,10038.3,Czechia,0,,-0.9,-1.0,2021-01-07,9790.698590302663,0.9753343285519126,Thursday
2021-01-08,CZ,2021-01-08,2019-01-11,96.83788598574822,9784.5,10104.0,Czechia,0,,-4.0,-1.0,2021-01-08,10122.93020530332,1.0018735357584443,Friday
2021-01-04,Chubu,2021-01-04,2019-01-07,83.79408893143881,3536.01,4219.879999999999,Chubu,0,,6.2,,2021-01-04,,,Monday
2021-01-05,Chubu,2021-01-05,2019-01-08,98.21702614470269,4224.0,4300.680000000001,Chubu,0,,7.8,,2021-01-05,,,Tuesday
2021-01-06,Chubu,2021-01-06,2019-01-09,97.70364904077444,4488.32,4593.81,Chubu,0,,3.7,,2021-01-06,,,Wednesday
2021-01-07,Chubu,2021-01-07,2019-01-10,105.77040930826729,4901.5700000000015,4634.160000000002,Chubu,0,,5.9,,2021-01-07,,,Thursday
2021-01-08,Chubu,2021-01-08,2019-01-11,121.73181999222496,5104.129999999999,4192.93,Chubu,0,,8.1,-0.8,2021-01-08,3950.342661650121,0.9421437185095196,Friday
2021-01-04,Chugoku,2021-01-04,2019-01-07,82.79146479775821,7051.8925,8517.656400000002,Chugoku,0,,6.4,5.5,2021-01-04,6840.081755785404,0.8030473917432738,Monday
2021-01-05,Chugoku,2021-01-05,2019-01-08,97.99315067558157,8255.270800000002,8424.3345,Chugoku,0,,7.9,6.2,2021-01-05,7876.525300634905,0.9349730000197528,Tuesday
2021-01-06,Chugoku,2021-01-06,2019-01-09,99.51934549777224,8876.177,8919.0468,Chugoku,0,,4.2,4.4,2021-01-06,8926.301144264835,1.0008133542100972,Wednesday
2021-01-07,Chugoku,2021-01-07,2019-01-10,108.7313851077373,10221.5833,9400.766199999998,Chugoku,0,,5.9,-0.8,2021-01-07,8482.970381176949,0.902370104808792,Thursday
2021-01-08,Chugoku,2021-01-08,2019-01-11,123.17269492044949,10623.0138,8624.487600000002,Chugoku,0,,8.2,-2.8,2021-01-08,7830.008313215554,0.9078809868328354,Friday
2021-01-04,DE,2021-01-04,2019-01-07,91.06286099870786,64237.7,70542.15,Germany,0,,4.8,0.0,2021-01-04,62423.707868061574,0.8849135994304338,Monday
2021-01-05,DE,2021-01-05,2019-01-08,89.28547127419107,65609.375,73482.7,Germany,0,,4.8,0.3,2021-01-05,63861.64820337659,0.8690705186850319,Tuesday
2021-01-06,DE,2021-01-06,2019-01-09,83.51253227899264,62141.55,74409.85,Germany,0,,0.7,1.2,2021-01-06,62284.67897414415,0.8370488446643037,Wednesday
2021-01-07,DE,2021-01-07,2019-01-10,93.477552499461,66554.475,71198.35,Germany,0,,0.3,1.0,2021-01-07,66738.15202002696,0.9373553182064888,Thursday
2021-01-08,DE,2021-01-08,2019-01-11,88.94780423170715,65418.575,73547.15,Germany,0,,0.9,0.3,2021-01-08,65263.53422049902,0.8873699962608889,Friday
2021-01-04,DK,2021-01-04,2019-01-07,108.68425298483382,5389.0,4958.4,Denmark,0,,4.3,0.4,2021-01-04,5153.800766620965,1.039408028118136,Monday
2021-01-05,DK,2021-01-05,2019-01-08,106.26003210272872,5362.2,5046.3,Denmark,0,,3.9,1.2,2021-01-05,5197.841577834495,1.0300302355853783,Tuesday
2021-01-06,DK,2021-01-06,2019-01-09,106.29993733354223,5428.1,5106.4,Denmark,0,,2.2,0.3,2021-01-06,5317.374225420625,1.0413156480927122,Wednesday
2021-01-07,DK,2021-01-07,2019-01-10,102.2745203686955,5314.9,5196.7,Denmark,0,,1.6,0.6,2021-01-07,5256.93499594698,1.0115910088992977,Thursday
2021-01-08,DK,2021-01-08,2019-01-11,107.21767084932074,5169.5,4821.5,Denmark,0,,5.6,0.7,2021-01-08,4869.352402383183,1.0099247956825022,Friday
2021-01-04,EE,2021-01-04,2019-01-07,95.7022663533692,1262.6,1319.3,Estonia,0,,0.3,-0.8,2021-01-04,1239.058502587634,0.9391787331066732,Monday
2021-01-05,EE,2021-01-05,2019-01-08,97.03898922564144,1251.9,1290.1,Estonia,0,,-0.9,-1.4,2021-01-05,1241.4123540167225,0.9622605643103036,Tuesday
2021-01-06,EE,2021-01-06,2019-01-09,96.7174941786224,1287.6,1331.3,Estonia,0,,-3.1,-1.4,2021-01-06,1322.0132732013076,0.9930243169843818,Wednesday
2021-01-07,EE,2021-01-07,2019-01-10,95.989364059384,1299.6,1353.9,Estonia,0,,-3.6,-2.1,2021-01-07,1329.2589357710099,0.9817999377878792,Thursday
2021-01-08,EE,2021-01-08,2019-01-11,98.74266554903605,1295.8,1312.3,Estonia,0,,0.2,-3.4,2021-01-08,1221.5718363618887,0.9308632449606712,Friday
2021-01-04,ER,2021-01-04,2019-01-07,110.26116058088806,18450.0,16733.0,ER,0,,18.9,21.4,2021-01-04,18293.374539828463,1.0932513320879975,Monday
2021-01-05,ER,2021-01-05,2019-01-08,103.01174636753322,18504.0,17963.0,ER,0,,18.7,22.3,2021-01-05,18191.042144873965,1.0126951035391618,Tuesday
2021-01-06,ER,2021-01-06,2019-01-09,105.47883433853785,18713.0,17741.0,ER,0,,18.1,22.9,2021-01-06,18325.69475802869,1.0329572604717143,Wednesday
2021-01-07,ER,2021-01-07,2019-01-10,105.02685046780712,18971.0,18063.0,ER,0,,17.6,25.1,2021-01-07,18058.9953003846,0.99977829266371,Thursday
2021-01-08,ER,2021-01-08,2019-01-11,101.50637311703359,18396.0,18123.0,ER,0,,16.8,23.9,2021-01-08,18028.441431208477,0.9947823997797538,Friday
2021-01-04,ES,2021-01-04,2019-01-07,108.00769636557129,35420.8,32794.7,Spain,0,,9.8,2.4,2021-01-04,30562.016573190966,0.9319193824975064,Monday
2021-01-05,ES,2021-01-05,2019-01-08,96.89034901373918,35803.6,36952.7,Spain,0,,8.8,1.4,2021-01-05,30562.491539005205,0.8270705940027442,Tuesday
2021-01-06,ES,2021-01-06,2019-01-09,78.8220814696965,28883.8,36644.3,Spain,1,,9.2,2.0,2021-01-06,23970.182501796884,0.6541312701237814,Wednesday
2021-01-07,ES,2021-01-07,2019-01-10,105.2122787106653,39028.6,37095.1,Spain,0,,6.1,1.6,2021-01-07,35550.80819445475,0.9583693855645288,Thursday
2021-01-08,ES,2021-01-08,2019-01-11,104.45840521397757,39539.7,37852.1,Spain,0,,4.2,0.5,2021-01-08,36394.5726338567,0.9614941478506264,Friday
